,source,cluster,x,y
360,news8000.com,16,10.315999999999999,41.676
361,democratherald.com,1,-25.564,8.2267
362,siasat.com,3,21.05,-3.0121
363,kptv.com,5,-21.166999999999998,-18.704
364,channel4000.com,16,10.009,40.264
365,cnsnews.com,1,-21.929000000000002,3.3535
366,qconline.com,18,3.1611,9.0273
367,huffingtonpost.com,2,7.1177,-5.9371
368,wcoapensacola.com,13,-4.1841,47.103
369,cortezjournal.com,0,-6.0993,5.4881
370,klif.com,13,-6.1546,46.335
371,newstalk1030.com,13,-3.9833,43.918
372,enca.com,2,15.489,-9.0799
373,eveningexpress.co.uk,11,0.22027,-15.776
374,thehimalayantimes.com,2,12.145,-9.0672
375,montrealgazette.com,17,-0.61343,-33.44
376,islandpacket.com,7,-33.658,7.5072
377,watoday.com.au,12,19.041,-21.659000000000002
378,whbl.com,2,8.7633,-3.5469999999999997
379,freemalaysiatoday.com,2,14.190999999999999,-8.5262
380,canberratimes.com.au,12,19.046,-21.662
381,mcclatchydc.com,7,-33.537,9.5739
382,630wpro.com,13,-6.9879,46.185
383,krcrtv.com,16,10.632,40.233000000000004
384,kxly.com,16,10.474,41.891000000000005
385,kvia.com,16,12.089,38.718
386,moultonadvertiser.com,1,-18.925,3.0657
387,marklevinshow.com,13,-4.9657,44.078
388,tribune.com.pk,2,13.767999999999999,-9.4283
389,mcdowellnews.com,1,-18.858,4.2805
390,redding.com,1,-13.655999999999999,-2.4146
391,supertalk1570.com,13,-5.4101,46.895
392,thesundaily.my,2,15.392000000000001,-9.9654
393,krdo.com,16,10.743,40.617
394,sacbee.com,7,-34.371,6.5387
395,660wxqw.com,13,-3.1910000000000003,45.846000000000004
396,deccanherald.com,3,19.984,-3.2658
397,wmdt.com,16,11.852,41.022
398,nbcmontana.com,16,9.6194,40.78
399,cbsnews.com,1,-7.0627,-0.9413100000000001
400,ktbb.com,4,31.069000000000003,19.66
401,foxbaltimore.com,18,4.1768,9.4945
402,kelownadailycourier.ca,8,-2.3109,-36.904
403,tri-cityherald.com,7,-33.188,7.6699
404,pakistantelegraph.com,15,31.875999999999998,-2.0153
405,bloomberg.com,1,-9.4667,-4.6752
406,bradfordera.com,1,-16.012999999999998,2.9048
407,wsau.com,2,8.7046,-3.3573
408,oneindia.com,3,20.523000000000003,-2.2314
409,bclocalnews.com,8,2.0052,-42.798
410,tucsonnewsnow.com,5,-21.337,-17.692
411,kansascity.com,7,-34.521,9.2203
412,mercedsunstar.com,7,-34.638000000000005,8.1201
413,thehansindia.com,3,17.881,-2.7869
414,wsmv.com,5,-21.081999999999997,-18.762999999999998
415,malaysiandigest.com,2,13.655999999999999,-6.9753
416,kob.com,1,-11.832,8.2564
417,dailyadvance.com,1,-13.775,2.005
418,europesun.com,15,33.007,-2.3079
419,yourbasin.com,16,10.290999999999999,39.663000000000004
420,waaytv.com,1,-15.477,1.3295
421,afghanistansun.com,15,31.57,-2.6598
422,hitsfm.net,4,31.252,18.511
423,thefiscaltimes.com,2,8.6314,-5.3326
424,thehindu.com,3,20.189,-4.3163
425,ktvz.com,16,10.149,41.153999999999996
426,newstrackindia.com,3,22.412,-2.1189
427,ledger-enquirer.com,7,-32.875,7.4807
428,middleeaststar.com,15,33.287,-1.5917
429,globalnews.ca,8,-0.56981,-37.778
430,wafb.com,5,-21.46,-16.992
431,geelongadvertiser.com.au,9,10.364,-21.655
432,wgauradio.com,6,-21.039,-5.4851
433,arabherald.com,15,33.004,-1.6628
434,abs-cbn.com,2,13.862,-7.4846
435,tribuneindia.com,3,18.394000000000002,-3.6129
436,wkjc.com,4,31.034000000000002,18.738
437,fourstateshomepage.com,16,10.754000000000001,40.063
438,wcyb.com,16,9.0618,40.358000000000004
439,news18.com,3,19.085,-2.4387
440,wadk.com,4,31.599,18.815
441,komonews.com,18,3.5929,9.383
442,nbcnews.com,19,-1.1507,-3.0053
443,hawaiitelegraph.com,15,32.559,-3.2153
444,businesstimes.com.sg,2,13.977,-7.2154
445,federalnewsradio.com,0,-29.728,8.006
446,actionnewsjax.com,6,-21.956999999999997,-5.1539
447,abc7ny.com,4,29.999000000000002,20.574
448,cbc.ca,8,2.1998,-38.227
449,wsba910.com,13,-6.1392,45.163999999999994
450,theprovince.com,8,0.51695,-36.346
451,local10.com,16,9.3497,40.439
452,pressofatlanticcity.com,1,-13.115,1.1182
453,pilotonline.com,0,-29.837,5.5167
454,vietnamtribune.com,15,31.918000000000003,-1.6017
455,wjbdradio.com,4,31.43,18.538
456,wnem.com,5,-21.488000000000003,-19.248
457,dailyjournalonline.com,1,-21.671,9.6282
458,nbc12.com,5,-20.294,-17.723
459,hanfordsentinel.com,1,-21.596,9.8812
460,nanaimobulletin.com,8,2.8149,-40.724000000000004
461,wsbt.com,18,3.6469,13.144
462,nationalpost.com,17,-0.5654100000000001,-33.461999999999996
463,scmp.com,2,16.71,-7.4564
464,marketwatch.com,0,29.625,-27.197
465,gosanangelo.com,1,-13.620999999999999,-2.8804
466,kcci.com,16,9.8164,42.736000000000004
467,rochesterfirst.com,16,10.002,37.427
468,kvor.com,13,-3.9594,46.82899999999999
469,997wtn.com,13,-3.4872,44.103
470,kdal610.com,2,8.952,-3.9236
471,thedailystar.net,2,14.562999999999999,-9.3268
472,theguardian.com,11,2.7423,-14.209000000000001
473,wlsam.com,13,-4.5921,46.06100000000001
474,ktxs.com,16,12.612,41.698
475,voanews.com,15,33.353,-4.1266
476,decaturdaily.com,1,-15.975999999999999,-0.6582100000000001
477,6abc.com,4,29.956,20.604
478,tbnewswatch.com,8,-1.0051,-38.686
479,250news.com,8,-2.2853,-36.981
480,sltrib.com,1,-9.3501,-2.3536
481,detroitnews.com,1,-4.6316,-2.8471
482,mychamplainvalley.com,16,9.3401,38.552
483,bakersfieldnow.com,18,4.9225,10.835
484,kkoh.com,13,-2.8388,46.343999999999994
485,krcu.org,20,32.205,-30.284000000000002
486,turnto10.com,18,9.3648,10.203
487,kait8.com,5,-20.706999999999997,-18.802
488,abc7chicago.com,4,30.285999999999998,20.643
489,dailyastorian.com,0,-29.143,8.0005
490,idahostatejournal.com,1,-16.622,0.20335
491,ash-cache-journal.com,8,0.5875,-42.317
492,calgaryherald.com,17,-0.60095,-33.431
493,abc13.com,4,29.894000000000002,20.230999999999998
494,iranherald.com,15,33.53,-1.8638
495,bigtalk1490.com,13,-4.106,46.211000000000006
496,kaok.com,13,-4.6001,45.591
497,9news.com.au,9,9.6916,-20.905
498,westernmassnews.com,5,-21.142,-19.16
499,kenyastar.com,15,32.508,-2.6962
500,kazu.org,20,32.423,-29.709
501,ksat.com,16,12.729000000000001,40.671
502,heraldbulletin.com,10,-18.965999999999998,11.752
503,theprogress.com,8,2.6767,-40.219
504,lycos.com,2,8.2703,-4.886
